"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"100",50,2,"2022/05/09 11:34:33 AM GMT+2","20-39",5,1,4,4,4,2,4,"Grüne","§""","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"101",51,2,"2022/05/09 11:35:00 AM GMT+2","40-59",5,1,1,5,3,3,3,"CDU","25","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Alles Gute!",1,"Control","Kampf-fuer-D"
"102",51,2,"2022/05/09 11:35:00 AM GMT+2","40-59",4,1,3,4,3,3,3,"SPD","25","männlich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Alles Gute!",2,"Dog whistle","Hilfe-vor-Ort"
"103",52,2,"2022/05/09 11:35:21 AM GMT+2","40-59",2,2,2,2,2,3,3,"SPD","30","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf-fuer-D"
"104",52,2,"2022/05/09 11:35:21 AM GMT+2","60-79",1,4,2,1,2,4,2,"AfD","30","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"105",53,2,"2022/05/09 11:36:17 AM GMT+2","20-39",3,2,3,3,3,3,3,"CDU","35","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Control","Kampf-fuer-D"
"106",53,2,"2022/05/09 11:36:17 AM GMT+2","40-59",3,4,4,4,3,4,3,"Grüne","35","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"107",54,2,"2022/05/09 11:38:06 AM GMT+2","40-59",4,2,3,3,3,2,4,"SPD","23","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",NA,1,"Control","Kampf-fuer-D"
"108",54,2,"2022/05/09 11:38:06 AM GMT+2","20-39",4,1,4,4,3,2,4,"Grüne","23","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme nicht zu","Neutral","Neutral","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"109",55,2,"2022/05/09 11:38:16 AM GMT+2","60-79",1,3,1,2,2,3,2,"CDU","34","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf-fuer-D"
"110",55,2,"2022/05/09 11:38:16 AM GMT+2","40-59",3,2,2,2,3,3,2,"das kann ich nicht einordnen","34","weiblich","Studium","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"111",56,2,"2022/05/09 11:39:27 AM GMT+2","60-79",3,1,2,3,3,4,4,"CDU","35","weiblich","Studium","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Anhand eines Satzes Persönlichkeitsmerkmale einzuschätzen erscheint mit unmöglich. Ich war mir immer sehr unklar, was ich ankreuzen sollte.",1,"Control","Kampf-fuer-D"
"112",56,2,"2022/05/09 11:39:27 AM GMT+2","40-59",3,2,2,2,3,4,3,"CDU","35","weiblich","Studium","keine Angabe","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral","Anhand eines Satzes Persönlichkeitsmerkmale einzuschätzen erscheint mit unmöglich. Ich war mir immer sehr unklar, was ich ankreuzen sollte.",2,"Dog whistle","Hilfe-vor-Ort"
"113",57,2,"2022/05/09 11:40:14 AM GMT+2","40-59",3,3,3,3,3,3,3,"CDU","27","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Control","Kampf-fuer-D"
"114",57,2,"2022/05/09 11:40:14 AM GMT+2","20-39",3,3,3,3,4,3,4,"CDU","27","männlich","Studium","SPD","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"115",58,2,"2022/05/09 11:44:02 AM GMT+2","40-59",3,3,3,3,3,3,3,"keine Ahnung","34","männlich","Abitur","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",NA,1,"Control","Kampf-fuer-D"
"116",58,2,"2022/05/09 11:44:02 AM GMT+2","40-59",3,3,3,3,3,3,3,"keine Ahnung","34","männlich","Abitur","Die Partei","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"117",59,2,"2022/05/09 12:00:30 PM GMT+2","20-39",5,3,4,4,4,3,5,"Grüne","66","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,1,"Control","Kampf-fuer-D"
"118",59,2,"2022/05/09 12:00:30 PM GMT+2","40-59",5,2,4,4,5,3,4,"SPD","66","männlich","Hauptschule","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,2,"Dog whistle","Hilfe-vor-Ort"
"119",60,2,"2022/05/09 12:02:11 PM GMT+2","60-79",2,3,3,2,3,3,3,"CDU","29","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral",NA,1,"Control","Kampf-fuer-D"
"120",60,2,"2022/05/09 12:02:11 PM GMT+2","60-79",2,3,2,1,3,2,3,"CDU","29","weiblich","Studium","Grüne","Ich stimme nicht zu","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral",NA,2,"Dog whistle","Hilfe-vor-Ort"
